model,experiment_id,outer_fold,best_epoch,image,valid_pixels,gt_foreground_pixels,foreground_fraction_weight,foreground_macro_f1,binary_foreground_f1,crack_f1,craquelure_f1
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00000_x00000,262144,6344,0.024200439453125,0.2082691639661789,0.22478991746902466,,0.2082691639661789
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00000_x00256,262144,9139,0.034862518310546875,0.1925802379846573,0.20505249500274658,,0.1925802379846573
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00000_x00512,262144,5838,0.02227020263671875,0.21622303128242493,0.2098914384841919,,0.21622303128242493
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00256_x00000,262144,52541,0.20042800903320312,0.7796738147735596,0.7796738147735596,,0.7796738147735596
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00256_x00256,262144,35721,0.13626480102539062,0.7185676693916321,0.7185676693916321,,0.7185676693916321
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00256_x00512,262144,9558,0.03646087646484375,0.4529653787612915,0.4519459903240204,,0.4529653787612915
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00512_x00000,262144,67439,0.2572593688964844,0.7876166105270386,0.7866834998130798,,0.7876166105270386
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00512_x00256,262144,57932,0.2209930419921875,0.7892552614212036,0.7892552614212036,,0.7892552614212036
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C01__y00512_x00512,262144,30238,0.11534881591796875,0.7389590740203857,0.7380553483963013,,0.7389590740203857
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00000_x00000,262144,1210,0.00461578369140625,0.26920366287231445,0.30241936445236206,,0.26920366287231445
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00000_x00256,262144,2847,0.010860443115234375,0.53197181224823,0.5186567306518555,,0.53197181224823
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00000_x00512,262144,2497,0.009525299072265625,0.41586539149284363,0.3658472001552582,,0.41586539149284363
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00256_x00000,262144,20748,0.0791473388671875,0.6831160187721252,0.6859996318817139,,0.6831160187721252
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00256_x00256,262144,25025,0.09546279907226562,0.7146878242492676,0.7146878242492676,,0.7146878242492676
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00256_x00512,262144,21756,0.0829925537109375,0.6068561673164368,0.6019908785820007,,0.6068561673164368
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00512_x00000,262144,23500,0.0896453857421875,0.4715977907180786,0.6639485359191895,0.2794871926307678,0.6637083888053894
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00512_x00256,262144,25674,0.09793853759765625,0.4629564881324768,0.6589128375053406,0.25521764159202576,0.6706953048706055
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C02__y00512_x00512,262144,22528,0.0859375,0.4277114272117615,0.554608166217804,0.2813117206096649,0.5741111636161804
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C04__y00000_x00000,262144,32,0.0001220703125,0.0,0.0,,0.0
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C04__y00000_x00256,262144,5676,0.0216522216796875,0.47106075286865234,0.4830576777458191,,0.47106075286865234
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C04__y00000_x00512,262144,21284,0.0811920166015625,0.7211346626281738,0.7250915765762329,,0.7211346626281738
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C04__y00256_x00000,262144,9075,0.034618377685546875,0.425393283367157,0.43700605630874634,,0.425393283367157
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C04__y00256_x00256,262144,35440,0.13519287109375,0.8072367906570435,0.8060266375541687,,0.8072367906570435
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,0,16,MGLST-DT-1R-A2-1_R1_C04__y00256_x00512,262144,78019,0.2976188659667969,0.8536280393600464,0.853588879108429,,0.8536280393600464
