model,fold,outer_images,positive_images,precision,recall,iou,micro_f1,macro_f1,weighted_f1,outer_test_loss,training_epochs,selected_epoch
ResNet50 U-Net,0,115,96,0.7903201501670216,0.7097017680536392,0.5972457727528844,0.7478445495880319,0.6132144374137448,0.7376929176860353,0.12200014634364274,80,16
ResNet50 U-Net,1,281,218,0.4721378451502456,0.6159490253900062,0.36475896173952715,0.5345397567854824,0.27189246030081826,0.5232084747510771,0.1518136574596344,80,7
ResNet50 U-Net,2,134,134,0.6412568122182601,0.02613244717165818,0.02575590932060716,0.05021839813268279,0.08688698686876112,0.04312525088163983,0.432498264737637,80,25
ResNet50 U-Net,3,178,175,0.7317949648552088,0.5207378922340414,0.4372817923481394,0.6084844248026495,0.4896976457213317,0.5990415243620387,0.0953797917322546,80,33
ResNet50 U-Net,4,221,176,0.5690696047152084,0.5448890473376367,0.3857295063522631,0.5567168838998622,0.4257593128934261,0.5387209912299307,0.06427606440663176,80,26
ConvNeXt-Large U-Net,0,115,96,0.5831724314338987,0.7917789103833651,0.5056282678381663,0.6716508697916054,0.5766124492504311,0.6799474750321362,0.17238554473989443,80,13
ConvNeXt-Large U-Net,1,281,218,0.5534650135322484,0.6995746294536047,0.4471793936212185,0.6180013280900298,0.343703890561217,0.5951073930280949,0.10516063436391786,80,8
ConvNeXt-Large U-Net,2,134,134,0.6527300328093629,0.03045586693682899,0.02997024874852278,0.05819633874849973,0.09231583150149492,0.049998801007610345,0.47218376161674785,80,23
ConvNeXt-Large U-Net,3,178,175,0.7954884443563539,0.5158866115314764,0.45547716670501853,0.625880195339856,0.5143239143075923,0.6148960920699914,0.09138299754020501,80,27
ConvNeXt-Large U-Net,4,221,176,0.5745475317284121,0.5758527035463933,0.4037051697423039,0.5751993772544376,0.4398557097109974,0.5564448469922673,0.0678516545816002,80,22
SegFormer-B5,0,115,96,0.6612648607280932,0.48999349221099003,0.3916811958749866,0.5628892551483048,0.4854467462170369,0.5571055156120504,0.17766293966313315,80,5
SegFormer-B5,1,281,218,0.3659574243446595,0.3804908351982277,0.22931874540267874,0.3730826464011374,0.2106333347484522,0.3511517819665053,0.12154054411828075,80,1
SegFormer-B5,2,134,134,0.5690167031517078,0.02601317726797891,0.025510547048305347,0.0497518960126379,0.08338216885887666,0.040599150910176005,0.5027935977863428,80,11
SegFormer-B5,3,178,175,0.6013190068069753,0.5445115370444742,0.40007694691359313,0.5715070843721052,0.45650160056862676,0.5577486984752337,0.09462622764795717,80,18
SegFormer-B5,4,221,176,0.4884805009498251,0.5044313451040069,0.3300771273218496,0.4963278001576793,0.37065620540212235,0.4632360278658105,0.07129705464645976,80,14
SAM2-SAC,0,115,96,0.7993018304281773,0.6170811471229628,0.5342952770597044,0.6964699494918841,0.6121755046245068,0.6897556331901352,0.12982849284278164,80,50
SAM2-SAC,1,281,218,0.6377806620968237,0.6119742432520763,0.45413407941206313,0.6246110119304529,0.37703775691727587,0.6165147337427922,0.07928358360288568,80,4
SAM2-SAC,2,134,134,0.5418742365366538,0.09851831135751085,0.09094345146320547,0.16672440966803445,0.20828276617601812,0.12472978349595137,0.3712051339201587,80,26
SAM2-SAC,3,178,175,0.6942079458443636,0.6468095869362533,0.5033876403795116,0.6696711172275404,0.5302956634985976,0.6584915435274726,0.06726455250957357,80,61
SAM2-SAC,4,221,176,0.6348879357779627,0.5379994538201417,0.41087688661594113,0.5824418707452922,0.4030340552498847,0.5144338770932906,0.05128316230578526,80,26
SAM2-Adapter,0,115,96,0.7319707700649399,0.7988119374125907,0.6180340299656384,0.7639320539862359,0.6938832792194933,0.7608454892477393,0.1179249323614643,80,16
SAM2-Adapter,1,281,218,0.6238838470516895,0.6350270815089801,0.45922148701047055,0.629406147179596,0.3454118470759345,0.6250798685395917,0.07203558114810973,80,24
SAM2-Adapter,2,134,134,0.600594190140845,0.049884979943463324,0.0482832133963758,0.09211864270904621,0.1257512217999066,0.06476278221755838,0.49408902982234776,80,33
SAM2-Adapter,3,178,175,0.695934811838844,0.6361657941469505,0.49780134463986503,0.6647094374982786,0.5186108826565724,0.6495223699171662,0.07674810315270318,80,54
SAM2-Adapter,4,221,176,0.6773419343374593,0.5087735627874139,0.4095221872433423,0.5810794479855061,0.3863176467837381,0.5127890325778484,0.05399641370550861,80,30
